Champion,Ban Ratio,league,area
Zed,?40.99%,All,NA
Yasuo,?38.69%,All,NA
Twitch,?37.07%,All,NA
Cho'Gath,?37.00%,All,NA
Janna,?34.88%,All,NA
Blitzcrank,?34.59%,All,NA
Sejuani,?33.37%,All,NA
Lulu,?30.34%,All,NA
Soraka,?29.83%,All,NA
Galio,?27.92%,All,NA
Evelynn,?27.52%,All,NA
Tristana,?27.48%,All,NA
Darius,?26.64%,All,NA
Kayn,?24.03%,All,NA
Draven,?23.69%,All,NA
Fizz,?18.83%,All,NA
Ezreal,?18.67%,All,NA
Malzahar,?18.38%,All,NA
Jarvan IV,?16.04%,All,NA
Vayne,?15.58%,All,NA
Fiora,?14.70%,All,NA
Master Yi,?13.29%,All,NA
Xayah,?12.78%,All,NA
Rammus,?12.41%,All,NA
Katarina,?11.12%,All,NA
Urgot,?10.38%,All,NA
Nasus,?10.35%,All,NA
Caitlyn,?10.20%,All,NA
Warwick,?9.18%,All,NA
Kog'Maw,?8.66%,All,NA
,?8.25%,All,NA
Jayce,?8.12%,All,NA
Vladimir,?7.73%,All,NA
Pantheon,?7.40%,All,NA
Azir,?7.23%,All,NA
Veigar,?7.12%,All,NA
Teemo,?6.78%,All,NA
Jax,?6.75%,All,NA
Sona,?6.70%,All,NA
Kassadin,?6.20%,All,NA
Singed,?5.99%,All,NA
Xin Zhao,?5.91%,All,NA
Thresh,?5.75%,All,NA
Tryndamere,?5.54%,All,NA
Talon,?5.45%,All,NA
Riven,?5.44%,All,NA
Annie,?5.38%,All,NA
Leona,?5.31%,All,NA
Akali,?5.30%,All,NA
Brand,?5.26%,All,NA
Rakan,?5.18%,All,NA
Ornn,?4.95%,All,NA
Lee Sin,?4.67%,All,NA
Morgana,?4.54%,All,NA
Syndra,?4.53%,All,NA
Ekko,?4.38%,All,NA
Maokai,?4.35%,All,NA
Gnar,?4.10%,All,NA
LeBlanc,?3.56%,All,NA
Kha'Zix,?3.56%,All,NA
Zac,?3.56%,All,NA
Orianna,?3.32%,All,NA
Ahri,?3.31%,All,NA
Garen,?2.88%,All,NA
Renekton,?2.73%,All,NA
Anivia,?2.68%,All,NA
Illaoi,?2.50%,All,NA
Udyr,?2.46%,All,NA
Diana,?2.42%,All,NA
Kalista,?2.20%,All,NA
Gangplank,?2.15%,All,NA
Taric,?1.87%,All,NA
Alistar,?1.84%,All,NA
Aatrox,?1.73%,All,NA
Lux,?1.67%,All,NA
Rengar,?1.53%,All,NA
Braum,?1.48%,All,NA
Yorick,?1.46%,All,NA
Hecarim,?1.40%,All,NA
Miss Fortune,?1.33%,All,NA
Kled,?1.28%,All,NA
Shaco,?1.27%,All,NA
Camille,?1.24%,All,NA
Irelia,?1.21%,All,NA
Malphite,?1.11%,All,NA
Gragas,?1.08%,All,NA
Zyra,?1.08%,All,NA
Jhin,?1.02%,All,NA
Kennen,?1.02%,All,NA
Lucian,?1.00%,All,NA
Ryze,?1.00%,All,NA
Heimerdinger,?0.99%,All,NA
Rek'Sai,?0.98%,All,NA
Wukong,?0.96%,All,NA
Dr. Mundo,?0.85%,All,NA
Elise,?0.85%,All,NA
Nidalee,?0.84%,All,NA
Cassiopeia,?0.83%,All,NA
Vi,?0.81%,All,NA
Shyvana,?0.77%,All,NA
Jinx,?0.77%,All,NA
Swain,?0.76%,All,NA
Tahm Kench,?0.73%,All,NA
Karma,?0.73%,All,NA
Shen,?0.72%,All,NA
Amumu,?0.71%,All,NA
Twisted Fate,?0.71%,All,NA
Varus,?0.67%,All,NA
Bard,?0.65%,All,NA
Fiddlesticks,?0.65%,All,NA
Kayle,?0.59%,All,NA
Vel'Koz,?0.58%,All,NA
Nami,?0.56%,All,NA
Aurelion Sol,?0.55%,All,NA
Corki,?0.52%,All,NA
Ashe,?0.51%,All,NA
Xerath,?0.50%,All,NA
Trundle,?0.50%,All,NA
Graves,?0.46%,All,NA
Quinn,?0.45%,All,NA
Zilean,?0.43%,All,NA
Rumble,?0.41%,All,NA
Ivern,?0.37%,All,NA
Sion,?0.37%,All,NA
Taliyah,?0.35%,All,NA
Ziggs,?0.33%,All,NA
Kindred,?0.33%,All,NA
Mordekaiser,?0.32%,All,NA
Nocturne,?0.31%,All,NA
Olaf,?0.30%,All,NA
Nautilus,?0.28%,All,NA
Viktor,?0.26%,All,NA
Sivir,?0.22%,All,NA
Lissandra,?0.20%,All,NA
Volibear,?0.20%,All,NA
Karthus,?0.18%,All,NA
Poppy,?0.14%,All,NA
Nunu,?0.11%,All,NA
Skarner,?0.09%,All,NA
Zed,?55.97%,All,KR
Blitzcrank,?54.93%,All,KR
Yasuo,?44.78%,All,KR
Evelynn,?43.07%,All,KR
Darius,?37.88%,All,KR
LeBlanc,?34.01%,All,KR
Teemo,?30.89%,All,KR
Lee Sin,?30.32%,All,KR
Galio,?29.44%,All,KR
Sejuani,?29.39%,All,KR
Twitch,?24.96%,All,KR
Fizz,?24.65%,All,KR
Lulu,?22.73%,All,KR
Kassadin,?21.15%,All,KR
Thresh,?19.69%,All,KR
Master Yi,?18.66%,All,KR
Katarina,?17.45%,All,KR
Pantheon,?17.29%,All,KR
Xayah,?16.51%,All,KR
Jayce,?16.14%,All,KR
Ezreal,?16.12%,All,KR
Nasus,?15.12%,All,KR
Soraka,?14.27%,All,KR
,?13.32%,All,KR
Malzahar,?12.39%,All,KR
Kayn,?12.06%,All,KR
Vladimir,?11.48%,All,KR
Leona,?11.22%,All,KR
Rakan,?10.62%,All,KR
Tristana,?10.39%,All,KR
Vayne,?10.38%,All,KR
Elise,?9.97%,All,KR
Fiora,?8.35%,All,KR
Kalista,?8.27%,All,KR
Talon,?7.80%,All,KR
Caitlyn,?7.18%,All,KR
Jarvan IV,?7.00%,All,KR
Alistar,?6.95%,All,KR
Azir,?6.82%,All,KR
Twisted Fate,?6.09%,All,KR
Janna,?5.71%,All,KR
Garen,?5.61%,All,KR
Kog'Maw,?5.53%,All,KR
Syndra,?5.47%,All,KR
Cho'Gath,?5.00%,All,KR
Jax,?4.59%,All,KR
Riven,?3.61%,All,KR
Brand,?2.74%,All,KR
Ryze,?2.65%,All,KR
Lucian,?2.46%,All,KR
Kha'Zix,?2.45%,All,KR
Nocturne,?2.37%,All,KR
Zac,?2.34%,All,KR
Orianna,?2.30%,All,KR
Renekton,?2.30%,All,KR
Rumble,?2.26%,All,KR
Ornn,?2.09%,All,KR
Singed,?1.94%,All,KR
Rek'Sai,?1.93%,All,KR
Ekko,?1.91%,All,KR
Kennen,?1.69%,All,KR
Rengar,?1.61%,All,KR
Nidalee,?1.58%,All,KR
Morgana,?1.57%,All,KR
Rammus,?1.55%,All,KR
Shen,?1.53%,All,KR
Malphite,?1.51%,All,KR
Sona,?1.44%,All,KR
Gnar,?1.38%,All,KR
Illaoi,?1.36%,All,KR
Maokai,?1.34%,All,KR
Xin Zhao,?1.32%,All,KR
