Champion,Pick Ratio,league,area
Tristana,?30.19%,All,NA
Vayne,?24.22%,All,NA
Jarvan IV,?18.75%,All,NA
Twitch,?18.74%,All,NA
Caitlyn,?18.72%,All,NA
Xayah,?17.17%,All,NA
Sona,?17.08%,All,NA
Thresh,?17.05%,All,NA
Ezreal,?16.14%,All,NA
Janna,?16.02%,All,NA
Yasuo,?15.36%,All,NA
Lulu,?15.31%,All,NA
Kayn,?14.83%,All,NA
Soraka,?14.43%,All,NA
Leona,?12.82%,All,NA
Lee Sin,?12.67%,All,NA
Zed,?12.19%,All,NA
Jax,?11.95%,All,NA
Orianna,?11.84%,All,NA
Lux,?11.72%,All,NA
Jinx,?11.65%,All,NA
Blitzcrank,?11.16%,All,NA
Jhin,?10.99%,All,NA
Nami,?10.50%,All,NA
Veigar,?10.49%,All,NA
Varus,?10.48%,All,NA
Warwick,?10.14%,All,NA
Morgana,?10.04%,All,NA
Rakan,?10.03%,All,NA
Riven,?10.00%,All,NA
Sejuani,?9.90%,All,NA
Draven,?9.56%,All,NA
Malzahar,?9.46%,All,NA
Cho'Gath,?9.44%,All,NA
Ekko,?9.38%,All,NA
Miss Fortune,?9.38%,All,NA
Kog'Maw,?9.18%,All,NA
Master Yi,?9.15%,All,NA
Galio,?9.09%,All,NA
Katarina,?9.01%,All,NA
Lucian,?8.72%,All,NA
Teemo,?8.63%,All,NA
Ahri,?8.46%,All,NA
Ashe,?8.45%,All,NA
Xin Zhao,?8.36%,All,NA
Gnar,?8.33%,All,NA
Jayce,?8.16%,All,NA
Nasus,?8.14%,All,NA
Brand,?8.14%,All,NA
Fizz,?8.01%,All,NA
Annie,?7.88%,All,NA
Gangplank,?7.87%,All,NA
Kha'Zix,?7.86%,All,NA
Darius,?7.65%,All,NA
Urgot,?7.42%,All,NA
Ornn,?7.35%,All,NA
Garen,?7.17%,All,NA
Taric,?7.14%,All,NA
Maokai,?7.12%,All,NA
Twisted Fate,?6.91%,All,NA
Vladimir,?6.90%,All,NA
Karma,?6.87%,All,NA
Syndra,?6.84%,All,NA
Gragas,?6.83%,All,NA
Evelynn,?6.79%,All,NA
Alistar,?6.74%,All,NA
Singed,?6.74%,All,NA
Tryndamere,?6.58%,All,NA
Rammus,?6.52%,All,NA
Fiora,?6.39%,All,NA
Udyr,?6.10%,All,NA
Renekton,?6.10%,All,NA
Azir,?5.99%,All,NA
Shen,?5.86%,All,NA
Pantheon,?5.79%,All,NA
Talon,?5.76%,All,NA
Bard,?5.66%,All,NA
Diana,?5.61%,All,NA
Kalista,?5.49%,All,NA
Ryze,?5.39%,All,NA
Malphite,?5.22%,All,NA
Vi,?5.15%,All,NA
Akali,?5.12%,All,NA
Braum,?5.05%,All,NA
Vel'Koz,?4.97%,All,NA
Sivir,?4.95%,All,NA
Wukong,?4.92%,All,NA
Kassadin,?4.90%,All,NA
Nidalee,?4.82%,All,NA
Anivia,?4.76%,All,NA
Shyvana,?4.66%,All,NA
Graves,?4.56%,All,NA
Zyra,?4.47%,All,NA
Rengar,?4.39%,All,NA
Irelia,?4.30%,All,NA
Sion,?4.07%,All,NA
Trundle,?4.07%,All,NA
Amumu,?3.90%,All,NA
Xerath,?3.75%,All,NA
LeBlanc,?3.73%,All,NA
Taliyah,?3.71%,All,NA
Ziggs,?3.69%,All,NA
Nautilus,?3.67%,All,NA
Kennen,?3.66%,All,NA
Viktor,?3.64%,All,NA
Elise,?3.63%,All,NA
Corki,?3.55%,All,NA
Fiddlesticks,?3.50%,All,NA
Rek'Sai,?3.49%,All,NA
Shaco,?3.49%,All,NA
Zac,?3.24%,All,NA
Hecarim,?3.13%,All,NA
Dr. Mundo,?3.09%,All,NA
