Champion,Win rate,Games played,KDA,CS,Gold,league,area
Sona,?54.52%,"508,649",3.04:1,?19.71,"?9,934",All,NA
Malzahar,?54.10%,"287,659",2.46:1,?186.75,"?12,196",All,NA
Singed,?53.77%,"188,120",2:01,?191.62,"?11,819",All,NA
Soraka,?53.53%,"425,388",3.12:1,?17.60,"?9,685",All,NA
Anivia,?53.25%,"134,684",2.99:1,?179.72,"?12,130",All,NA
Rammus,?53.10%,"192,938",2.82:1,?114.78,"?10,966",All,NA
Taric,?52.94%,"214,600",3.19:1,?42.17,"?9,320",All,NA
Shyvana,?52.93%,"159,134",2.44:1,?161.48,"?12,333",All,NA
Urgot,?52.87%,"228,234",2.38:1,?173.88,"?12,083",All,NA
Xin Zhao,?52.67%,"266,386",2.14:1,?129.39,"?11,698",All,NA
Yorick,?52.61%,"101,597",1.98:1,?186.36,"?11,914",All,NA
Jarvan IV,?52.44%,"497,163",3.04:1,?129.19,"?11,512",All,NA
Janna,?52.42%,"428,440",3.61:1,?16.47,"?9,787",All,NA
Udyr,?52.38%,"201,543",2.14:1,?147.10,"?11,928",All,NA
Wukong,?52.27%,"156,182",2.37:1,?146.88,"?11,965",All,NA
Veigar,?52.24%,"341,962",2.46:1,?158.89,"?12,186",All,NA
Twitch,?52.21%,"552,207",2.61:1,?180.78,"?12,731",All,NA
Xerath,?52.11%,"106,244",2.96:1,?163.52,"?12,029",All,NA
Warwick,?52.00%,"337,607",2.38:1,?121.23,"?11,650",All,NA
Garen,?51.89%,"262,576",2.31:1,?173.85,"?11,971",All,NA
Amumu,?51.78%,"130,608",2.78:1,?124.00,"?11,172",All,NA
Annie,?51.75%,"248,051",2.33:1,?135.04,"?11,496",All,NA
Leona,?51.72%,"414,687",2.81:1,?45.87,"?9,618",All,NA
Sion,?51.64%,"131,287",2.48:1,?138.23,"?11,228",All,NA
Pantheon,?51.54%,"179,158",2.28:1,?137.89,"?11,655",All,NA
Miss Fortune,?51.52%,"340,882",2.57:1,?177.13,"?12,505",All,NA
Vel'Koz,?51.48%,"152,810",2.58:1,?133.40,"?11,804",All,NA
Brand,?51.44%,"255,383",2.28:1,?84.08,"?11,316",All,NA
Diana,?51.43%,"185,105",2.21:1,?162.08,"?12,294",All,NA
Ziggs,?51.36%,"119,871",2.44:1,?178.62,"?12,202",All,NA
Teemo,?51.35%,"300,712",1.88:1,?166.46,"?12,198",All,NA
Fizz,?51.33%,"247,364",2.39:1,?149.37,"?12,032",All,NA
Draven,?51.29%,"266,627",2.18:1,?184.08,"?13,100",All,NA
Swain,?51.26%,"90,116",2.41:1,?168.01,"?11,589",All,NA
Sejuani,?51.24%,"295,190",3.18:1,?110.99,"?10,889",All,NA
Tryndamere,?51.21%,"227,454",1.84:1,?207.63,"?12,778",All,NA
Blitzcrank,?51.16%,"354,565",2.72:1,?40.34,"?9,646",All,NA
Heimerdinger,?51.14%,"99,925",1.94:1,?172.58,"?11,902",All,NA
Vayne,?51.12%,"720,570",2.21:1,?188.59,"?12,530",All,NA
Jax,?51.03%,"370,230",1.96:1,?161.24,"?12,030",All,NA
Nami,?51.02%,"289,226",3.55:1,?14.52,"?9,645",All,NA
Kayle,?51.00%,"89,190",2.13:1,?177.03,"?11,908",All,NA
Vi,?50.90%,"167,635",2.28:1,?124.81,"?11,532",All,NA
Fiddlesticks,?50.76%,"110,651",2.29:1,?104.05,"?11,187",All,NA
Karthus,?50.72%,"47,343",2.33:1,?184.07,"?12,670",All,NA
Maokai,?50.69%,"208,641",2.87:1,?124.33,"?10,523",All,NA
Jinx,?50.57%,"411,127",2.46:1,?195.22,"?12,602",All,NA
Tristana,?50.54%,"870,401",2.62:1,?196.88,"?12,606",All,NA
Ahri,?50.52%,"259,858",2.62:1,?167.76,"?11,737",All,NA
Zilean,?50.50%,"86,630",3.11:1,?81.83,"?10,754",All,NA
Katarina,?50.50%,"264,623",2.24:1,?158.50,"?12,213",All,NA
Talon,?50.38%,"183,167",2.22:1,?166.38,"?12,501",All,NA
Twisted Fate,?50.36%,"191,653",2.33:1,?163.07,"?12,208",All,NA
Kog'Maw,?50.31%,"257,552",2.27:1,?191.11,"?12,691",All,NA
Shaco,?50.25%,"113,809",2.32:1,?121.83,"?11,733",All,NA
Master Yi,?50.20%,"319,083",1.89:1,?156.66,"?12,666",All,NA
Skarner,?50.20%,"25,679",2.56:1,?121.51,"?11,101",All,NA
Zyra,?50.20%,"135,593",2.42:1,?56.47,"?10,952",All,NA
Nasus,?50.17%,"279,958",1.99:1,?184.95,"?11,823",All,NA
Yasuo,?50.16%,"479,548",1.75:1,?196.90,"?12,440",All,NA
Alistar,?50.11%,"196,971",2.85:1,?42.25,"?9,250",All,NA
Vladimir,?50.02%,"185,078",2.19:1,?180.08,"?11,660",All,NA
Cho'Gath,?50.02%,"292,038",2.51:1,?145.24,"?11,292",All,NA
Jayce,?50.01%,"218,081",2.31:1,?179.87,"?12,137",All,NA
Dr. Mundo,?49.99%,"100,344",2.33:1,?159.76,"?11,579",All,NA
Fiora,?49.99%,"183,839",1.89:1,?182.91,"?11,963",All,NA
Azir,?49.97%,"164,977",2.16:1,?185.24,"?12,116",All,NA
Irelia,?49.94%,"116,412",2.1:1,?180.09,"?11,997",All,NA
Ezreal,?49.87%,"483,297",2.69:1,?155.59,"?12,332",All,NA
Sivir,?49.85%,"147,960",2.65:1,?218.05,"?12,887",All,NA
Nocturne,?49.82%,"89,107",2.28:1,?146.12,"?12,270",All,NA
Kindred,?49.82%,"66,445",2.05:1,?134.25,"?11,855",All,NA
Lux,?49.76%,"419,497",2.84:1,?118.47,"?11,389",All,NA
Malphite,?49.72%,"166,295",2.76:1,?135.57,"?11,009",All,NA
Aatrox,?49.72%,"52,117",1.96:1,?172.14,"?12,009",All,NA
Kled,?49.70%,"83,382",2.44:1,?158.40,"?11,590",All,NA
Rumble,?49.63%,"81,885",2.26:1,?165.72,"?11,653",All,NA
Kennen,?49.57%,"105,949",2.19:1,?161.97,"?11,512",All,NA
Ekko,?49.53%,"293,365",2.26:1,?158.80,"?11,982",All,NA
Varus,?49.52%,"315,626",2.46:1,?195.98,"?12,605",All,NA
Kha'Zix,?49.52%,"210,462",2.4:1,?122.96,"?11,897",All,NA
Lulu,?49.51%,"410,057",3.21:1,?23.59,"?9,631",All,NA
Aurelion Sol,?49.50%,"37,106",2.4:1,?166.95,"?11,651",All,NA
Trundle,?49.48%,"132,123",2.3:1,?150.20,"?11,314",All,NA
Orianna,?49.39%,"324,648",2.76:1,?179.73,"?11,815",All,NA
Akali,?49.36%,"166,918",2.1:1,?151.61,"?11,961",All,NA
Riven,?49.35%,"271,647",2:01,?179.04,"?11,928",All,NA
Hecarim,?49.23%,"100,734",2.62:1,?134.37,"?11,743",All,NA
Darius,?49.19%,"235,403",1.98:1,?171.73,"?11,630",All,NA
Quinn,?49.18%,"67,673",2.01:1,?161.89,"?12,273",All,NA
Illaoi,?49.08%,"89,493",1.68:1,?187.35,"?11,927",All,NA
Gangplank,?49.07%,"227,900",2.4:1,?204.67,"?13,673",All,NA
